"id","method","path","summary","request_schema","success_response_schema","error_response_schemas","status","issue","frontend_target","destructive","confirmation","backend_prerequisite","canonical_status","last_verified"
"1","GET","/admin/audit-logs","관리자 감사 로그 조회","-","200:AdminAuditLogResponse","401:ErrorResponse|403:ErrorResponse","implemented","#207","src/api/adminOperationHistoryApi.ts::getAdminAuditLogs -> src/hooks/useAdminOperationHistories.ts","no","해당 없음","계약 존재; 실서버 QA 미수행","admin: documented","2026-09-16T10:57:26.133Z"
"2","POST","/admin/ban/{userId}","사용자 밴 처리","BanRequest","200:BanResponse","400:{""oneOf"":[{""$ref"":""#/components/schemas/ErrorResponse""},{""$ref"":""#/components/schemas/ValidationErrorResponse""}]}|401:ErrorResponse|403:ErrorResponse|404:ErrorResponse","implemented","#207","src/api/adminUserBanApi.ts::banAdminUser -> src/hooks/useAdminBannedUsers.ts","yes","경고 dialog + 명시적 확정","계약 존재; 실서버 QA 미수행","admin: documented","2026-09-16T10:57:26.133Z"
"3","POST","/admin/ban/{userId}/release","사용자 밴 해제","UnbanRequest","200:UnbanResponse","400:{""oneOf"":[{""$ref"":""#/components/schemas/ErrorResponse""},{""$ref"":""#/components/schemas/ValidationErrorResponse""}]}|401:ErrorResponse|403:ErrorResponse|404:ErrorResponse|409:ErrorResponse","implemented","#207","src/api/adminUserBanApi.ts::releaseAdminUserBan -> src/hooks/useAdminBannedUsers.ts","yes","경고 dialog + 명시적 확정","계약 존재; 실서버 QA 미수행","admin: documented","2026-09-16T10:57:26.133Z"
"4","GET","/admin/community-reports","관리자 커뮤니티 신고 목록 조회","-","200:AdminCommunityReportPageResponse","400:{""oneOf"":[{""$ref"":""#/components/schemas/ErrorResponse""},{""$ref"":""#/components/schemas/ValidationErrorResponse""}]}|401:ErrorResponse|403:ErrorResponse","implemented","#216","src/api/adminCommunityApi.ts -> src/pages/community","no","해당 없음","모의 검증 완료; 실서버 QA 미수행; 댓글 postId는 서버 PR #1649 기준, 공개 Swagger 미반영","admin: documented","2026-09-17"
"5","GET","/admin/community-reports/{reportId}","관리자 커뮤니티 신고 상세 조회","-","200:AdminCommunityReportResponse","401:ErrorResponse|403:ErrorResponse|404:ErrorResponse","implemented","#216","src/api/adminCommunityApi.ts -> src/pages/community","no","해당 없음","모의 검증 완료; 실서버 QA 미수행; 댓글 postId는 서버 PR #1649 기준, 공개 Swagger 미반영","admin: documented","2026-09-17"
"6","POST","/admin/community-reports/{reportId}/accept","관리자 커뮤니티 신고 수락","-","200:AdminCommunityReportActionResponse","401:ErrorResponse|403:ErrorResponse|404:ErrorResponse|409:ErrorResponse","implemented","#216","src/api/adminCommunityApi.ts -> src/pages/community","review-required","신고 원문 일치 확인 + 대상 고정 AppDialog","모의 검증 완료; 실서버 QA 미수행; 댓글 postId는 서버 PR #1649 기준, 공개 Swagger 미반영","admin: documented","2026-09-17"
"7","POST","/admin/community-reports/{reportId}/decline","관리자 커뮤니티 신고 반려","-","200:AdminCommunityReportActionResponse","401:ErrorResponse|403:ErrorResponse|404:ErrorResponse|409:ErrorResponse","implemented","#216","src/api/adminCommunityApi.ts -> src/pages/community","review-required","신고 원문 일치 확인 + 대상 고정 AppDialog","모의 검증 완료; 실서버 QA 미수행; 댓글 postId는 서버 PR #1649 기준, 공개 Swagger 미반영","admin: documented","2026-09-17"
"8","GET","/admin/community/posts","관리자 커뮤니티 글 목록 조회","-","200:AdminCommunityPostPageResponse","400:{""oneOf"":[{""$ref"":""#/components/schemas/ErrorResponse""},{""$ref"":""#/components/schemas/ValidationErrorResponse""}]}|401:ErrorResponse|403:ErrorResponse","implemented","#216","src/api/adminCommunityApi.ts -> src/pages/community","no","해당 없음","모의 검증 완료; 실서버 QA 미수행; 댓글 postId는 서버 PR #1649 기준, 공개 Swagger 미반영","admin: documented","2026-09-17"
"9","GET","/admin/community/posts/{postId}","관리자 커뮤니티 글 상세 조회","-","200:AdminCommunityPostResponse","401:ErrorResponse|403:ErrorResponse|404:ErrorResponse","implemented","#216","src/api/adminCommunityApi.ts -> src/pages/community","no","해당 없음","모의 검증 완료; 실서버 QA 미수행; 댓글 postId는 서버 PR #1649 기준, 공개 Swagger 미반영","admin: documented","2026-09-17"
"10","GET","/admin/community/posts/{postId}/comments","관리자 커뮤니티 댓글 목록 조회","-","200:AdminCommunityCommentPageResponse","400:{""oneOf"":[{""$ref"":""#/components/schemas/ErrorResponse""},{""$ref"":""#/components/schemas/ValidationErrorResponse""}]}|401:ErrorResponse|403:ErrorResponse|404:ErrorResponse","implemented","#216","src/api/adminCommunityApi.ts -> src/pages/community","no","해당 없음","모의 검증 완료; 실서버 QA 미수행; 댓글 postId는 서버 PR #1649 기준, 공개 Swagger 미반영","admin: documented","2026-09-17"
